DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
N,160NT008,E365.1,6/25/2016 14:36,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-006,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0057,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,D6919-09,6/29/2016 0:01,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-006,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,6.00E-04,6.00E-04,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,SM5310C,6/15/2016 0:44,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-006,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,4.7,NA,TRG,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,SM2120B,6/9/2016 9:32,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-006,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,COLOR,25,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,E353.2,6/13/2016 13:38,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-006,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,NA,NA,TRG,Yes,N,U,NA,U,NA,0.0014,0.0014,0.002,mg/l,mg/l,NA,0.0014,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,E351.2,6/21/2016 14:54,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/20/2016 11:52,NA,NA,ALSRNY,quant,R1606022-006,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.53,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,SM2120B,6/11/2016 12:07,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-006,NA,0,mL,NA,NA,NA,NA,NA,,PHCOLOR,pH of Color Analysis,8.431,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,pH units,pH units,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008,E365.1,6/25/2016 15:29,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-006,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0298,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,N,Field,,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008DUP,E365.1,6/25/2016 15:30,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-006DUP,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0296,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.0298,NA,NA,NA,0.0298,NA,NA,NA,<1,NA,NA,20,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,LR,Lab,160NT008,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT008MS,E365.1,6/25/2016 15:34,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-006MS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0569,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.0298,0.025,0.0569,108,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1606022,ALSRNY,160NT008,WA,MS,Lab,160NT008,R1606022,6/7/2016 13:00,160NT008,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,E365.1,6/25/2016 14:44,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-011,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0168,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,SM 2320 B,6/20/2016 19:40,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",159,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,D6919-09,6/29/2016 2:25,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,6.00E-04,6.00E-04,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,SM5310C,6/15/2016 3:31,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,6.3,NA,TRG,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,SM10200H,6/17/2016 11:00,T,NA,initial,WA,LB,NA,NA,4,,,NA,NA,ALSRNY,quant,R1606022-011,NA,250,mL,NA,NA,NA,NA,NA,,479-61-8,Chlorophyll A,10.1,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.64,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,SM2120B,6/9/2016 9:32,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,COLOR,30,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,E353.2,6/13/2016 13:47,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,NA,NA,TRG,Yes,N,U,NA,U,NA,0.0014,0.0014,0.002,mg/l,mg/l,NA,0.0014,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,E351.2,6/21/2016 15:00,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/20/2016 11:52,NA,NA,ALSRNY,quant,R1606022-011,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.71,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,SM2120B,6/11/2016 12:07,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011,NA,0,mL,NA,NA,NA,NA,NA,,PHCOLOR,pH of Color Analysis,8.432,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,pH units,pH units,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009,E365.1,6/25/2016 15:43,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-011,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.038,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,N,Field,,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009DUP,E365.1,6/25/2016 14:45,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-011DUP,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0189,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.0168,NA,NA,NA,0.0168,NA,NA,NA,11,NA,NA,20,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,LR,Lab,160NT009,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009DUP,SM2120B,6/9/2016 9:32,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606022-011DUP,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,COLOR,30,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,30,NA,NA,NA,30,NA,NA,NA,<1,NA,NA,5,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,LR,Lab,160NT009,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009DUP,E351.2,6/21/2016 15:01,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/20/2016 11:52,NA,NA,ALSRNY,quant,R1606022-011DUP,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.7,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,0.71,NA,NA,NA,0.71,NA,NA,NA,<1,NA,NA,20,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,LR,Lab,160NT009,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009MS,E365.1,6/25/2016 14:46,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-011MS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0422,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.0168,0.025,0.0422,102,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,MS,Lab,160NT009,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT009MS,E351.2,6/21/2016 15:01,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/20/2016 11:52,NA,NA,ALSRNY,quant,R1606022-011MS,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",3.08,NA,SC,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,0.71,2.5,3.08,95,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1606022,ALSRNY,160NT009,WA,MS,Lab,160NT009,R1606022,6/8/2016 17:00,160NT009,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,160NT011,E365.1,6/25/2016 14:41,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/23/2016 0:28,NA,NA,ALSRNY,quant,R1606022-009,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0148,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606022,ALSRNY,160NT011,WA,N,Field,,R1606022,6/8/2016 12:30,160NT011,NA,NA,NA,NA,NA,6/8/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
