DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
N,17UHB051,SM2120B,6/9/2017 14:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-001,NA,0,mL,NA,NA,NA,NA,NA,,PHCOLOR,pH of Color Analysis,8.15,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,pH units,pH units,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,E365.1,6/14/2017 20:09,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/12/2017 16:07,NA,NA,ALSRNY,quant,R1705298-001,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0319,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB051MS,E365.1,6/14/2017 19:50,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/12/2017 16:07,NA,NA,ALSRNY,quant,R1705298-001MS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0327,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.0114,0.025,0.0327,85,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,MS,Lab,17UHB051,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB051MS,D6919-09,6/16/2017 13:26,T,NA,initial,WA,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1705298-001MS,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",4.86,NA,SC,Yes,Y,,NA,,NA,0.008,NA,0.05,mg/l,mg/l,NA,0.008,NA,NA,NA,NA,,0,5,4.86,97,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,MS,Lab,17UHB051,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB051MSD,E365.1,6/14/2017 19:51,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/12/2017 16:07,NA,NA,ALSRNY,quant,R1705298-001DMS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0323,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,0.0114,0.025,0.0323,84,1,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,SD,Lab,17UHB051,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB051MSD,D6919-09,6/16/2017 13:41,T,NA,initial,WA,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1705298-001DMS,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",4.77,NA,SC,Yes,Y,,NA,,NA,0.008,NA,0.05,mg/l,mg/l,NA,0.008,NA,NA,NA,NA,,NA,NA,NA,NA,0,5,4.77,95,2,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,SD,Lab,17UHB051,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,SM5310C,6/14/2017 12:32,D,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002,NA,42,mL,NA,NA,NA,NA,42,mL,DOC,"Carbon, Dissolved Organic (DOC)",5.8,NA,TRG,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,E365.1,6/14/2017 19:52,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/12/2017 16:07,NA,NA,ALSRNY,quant,R1705298-002,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0245,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,D6919-09,6/16/2017 13:56,T,NA,initial,WA,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1705298-002,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.008,0.008,0.05,mg/l,mg/l,NA,0.008,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,SM2120B,6/9/2017 14:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,"Color, True",32,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,E353.2,6/19/2017 16:58,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.0029,NA,TRG,Yes,Y,,NA,,NA,0.0025,NA,0.0025,mg/l,mg/l,NA,0.0025,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,E351.2,6/27/2017 11:07,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/26/2017 12:45,NA,NA,ALSRNY,quant,R1705298-002,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.47,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,SM2120B,6/9/2017 14:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002,NA,0,mL,NA,NA,NA,NA,NA,,PHCOLOR,pH of Color Analysis,7.72,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,pH units,pH units,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB052,E365.1,6/14/2017 20:10,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/12/2017 16:07,NA,NA,ALSRNY,quant,R1705298-002,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0507,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,N,Field,,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB052DUP,SM2120B,6/9/2017 14:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002DUP,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,"Color, True",32,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,32,NA,NA,NA,32,NA,NA,NA,<1,NA,NA,5,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,LR,Lab,17UHB052,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB052DUP,SM2120B,6/9/2017 14:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002DUP,NA,0,mL,NA,NA,NA,NA,NA,,PHCOLOR,pH of Color Analysis,7.72,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,pH units,pH units,NA,NA,NA,NA,NA,NA,,7.72,NA,NA,NA,7.72,NA,NA,NA,<1,NA,NA,20,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,LR,Lab,17UHB052,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB052MS,E353.2,6/19/2017 16:59,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002MS,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.182,NA,SC,Yes,Y,,NA,,NA,0.0025,NA,0.0025,mg/l,mg/l,NA,0.0025,NA,NA,NA,NA,,0.0029,0.2,0.182,90,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,MS,Lab,17UHB052,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB052MS,E351.2,6/27/2017 11:08,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/26/2017 12:45,NA,NA,ALSRNY,quant,R1705298-002MS,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",2.75,NA,SC,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,0.47,2.5,2.75,91,NA,NA,NA,NA,,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,MS,Lab,17UHB052,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB052MSD,E353.2,6/19/2017 17:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-002DMS,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.181,NA,SC,Yes,Y,,NA,,NA,0.0025,NA,0.0025,mg/l,mg/l,NA,0.0025,NA,NA,NA,NA,,NA,NA,NA,NA,0.0029,0.2,0.181,89,<1,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,SD,Lab,17UHB052,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,17UHB052MSD,E351.2,6/27/2017 11:08,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/26/2017 12:45,NA,NA,ALSRNY,quant,R1705298-002DMS,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",3.03,NA,SC,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,0.47,2.5,3.03,102,10,75,125,20,NA,NA,NA,R1705298,ALSRNY,17UHB052,WA,SD,Lab,17UHB052,R1705298,6/8/2017 11:30,17UHB052,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17ALG021,SM 2320 B,6/16/2017 14:40,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705476-017,NA,100,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",20.1,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705476,ALSRNY,17ALG021,WS,N,Field,,R1705476,6/12/2017 14:40,17ALG021,NA,NA,NA,NA,NA,6/14/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17ALG021,D6919-09,6/23/2017 20:59,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705476-017,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,8.00E-04,8.00E-04,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705476,ALSRNY,17ALG021,WS,N,Field,,R1705476,6/12/2017 14:40,17ALG021,NA,NA,NA,NA,NA,6/14/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17ALG021,SM5310C,6/23/2017 23:35,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705476-017,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,1.5,NA,TRG,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705476,ALSRNY,17ALG021,WS,N,Field,,R1705476,6/12/2017 14:40,17ALG021,NA,NA,NA,NA,NA,6/14/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17ALG021,SM10200H,6/19/2017 9:30,T,NA,initial,WS,LB,NA,NA,2,,,NA,NA,ALSRNY,quant,R1705476-017,NA,250,mL,NA,NA,NA,NA,NA,,479-61-8,Chlorophyll A,13.7,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.32,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705476,ALSRNY,17ALG021,WS,N,Field,,R1705476,6/12/2017 14:40,17ALG021,NA,NA,NA,NA,NA,6/14/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17ALG021,SM2120B,6/15/2017 14:00,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705476-017,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,"Color, True",18,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705476,ALSRNY,17ALG021,WS,N,Field,,R1705476,6/12/2017 14:40,17ALG021,NA,NA,NA,NA,NA,6/14/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17ALG021,E353.2,6/25/2017 11:53,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705476-017,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.0705,NA,TRG,Yes,Y,,NA,,NA,0.0025,NA,0.0025,mg/l,mg/l,NA,0.0025,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705476,ALSRNY,17ALG021,WS,N,Field,,R1705476,6/12/2017 14:40,17ALG021,NA,NA,NA,NA,NA,6/14/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
