"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Magnesium",2018-07-23 10:15:00,"7439-95-4","T",18600,"ug/l",29,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Manganese",2018-07-23 10:15:00,"7439-96-5","T",571,"ug/l",1.7,"ug/l",10,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Nickel",2018-07-23 10:15:00,"7440-02-0","D",8,"ug/l",0.26,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Nitrate+Nitrite as Nitrogen",2018-07-23 10:15:00,"NO3NO2N","T",30.6,"mg/l",0.013,"mg/l",0.04,"","R","Precision error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Nitrogen",2018-07-23 10:15:00,"KN","T",32.1,"mg/l",NA,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Nitrogen, ammonia (As N)",2018-07-23 10:15:00,"7664-41-7","T",0.603,"mg/l",8e-04,"mg/l",0.005,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-23 10:15:00,"KN","T",1.52,"mg/l",0.08,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","NITROGEN, NITRATE (AS N)",2018-07-23 10:15:00,"14797-55-8","T",30.6,"mg/l",NA,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","NITROGEN, NITRITE",2018-07-23 10:15:00,"14797-65-0","T",0.041,"mg/l",0.007,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Orthophosphate as Phosphorus, Dissolved",2018-07-23 10:15:00,"PDORTHO","D",0.312,"mg/l",0.0014,"mg/l",0.005,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-23 10:15:00,"7723-14-0","T",0.422,"mg/l",0.02,"mg/l",0.05,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Potassium",2018-07-23 10:15:00,"7440-09-7","T",16800,"ug/l",70,"ug/l",2000,"E","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Silver",2018-07-23 10:15:00,"7440-22-4","T",NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Sodium",2018-07-23 10:15:00,"7440-23-5","T",125000,"ug/l",44,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","SULFATE (AS SO4)",2018-07-23 10:15:00,"14808-79-8","T",51.3,"mg/l",0.2,"mg/l",2,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2018-07-23 10:15:00,"TDS","T",628,"mg/l",4,"mg/l",10,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","TURBIDITY",2018-07-23 10:15:00,"TURB","T",2.51,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Zinc",2018-07-23 10:15:00,"7440-66-6","D",61.7,"ug/l",2.5,"ug/l",5,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Zinc",2018-07-23 10:15:00,"7440-66-6","T",61.3,"ug/l",2.5,"ug/l",5,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-10 15:15:00,"ALK","T",112,"mg/l",1,"mg/l",2,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Aluminum",2018-07-10 15:15:00,"7429-90-5","D",4.7,"ug/l",2.3,"ug/l",10,"J","R","estimated value due to lab error ; Precision error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Arsenic",2018-07-10 15:15:00,"7440-38-2","T",0.65,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Cadmium",2018-07-10 15:15:00,"7440-43-9","D",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Calcium",2018-07-10 15:15:00,"7440-70-2","T",67300,"ug/l",110,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Carbon, Dissolved Organic (DOC)",2018-07-10 15:15:00,"DOC","D",8.2,"mg/l",0.05,"mg/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","CHLORIDE (AS CL)",2018-07-10 15:15:00,"16887-00-6","T",274,"mg/l",0.5,"mg/l",8,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Copper",2018-07-10 15:15:00,"7440-50-8","D",16.9,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Copper",2018-07-10 15:15:00,"7440-50-8","T",17.2,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Fluoride, undistilled",2018-07-10 15:15:00,"16984-48-8","T",0.13,"mg/l",0.004,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","HARDNESS (AS CACO3)",2018-07-10 15:15:00,"HARD","T",252,"mg/l",NA,"mg/l",6.62,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Iron",2018-07-10 15:15:00,"7439-89-6","T",61.9,"ug/l",13,"ug/l",100,"J","R","estimated value due to lab error ; Precision error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Lead",2018-07-10 15:15:00,"7439-92-1","T",0.2,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Lead",2018-07-10 15:15:00,"7439-92-1","D",0.12,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Magnesium",2018-07-10 15:15:00,"7439-95-4","T",20400,"ug/l",29,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Manganese",2018-07-10 15:15:00,"7439-96-5","T",23.4,"ug/l",1.7,"ug/l",10,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Nickel",2018-07-10 15:15:00,"7440-02-0","D",3.1,"ug/l",0.26,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Nitrate+Nitrite as Nitrogen",2018-07-10 15:15:00,"NO3NO2N","T",18.4,"mg/l",0.007,"mg/l",0.02,"","R","Accuracy error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Nitrogen",2018-07-10 15:15:00,"KN","T",19.6,"mg/l",NA,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Nitrogen, ammonia (As N)",2018-07-10 15:15:00,"7664-41-7","T",0.0753,"mg/l",8e-04,"mg/l",0.005,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-10 15:15:00,"KN","T",1.23,"mg/l",0.08,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","NITROGEN, NITRATE (AS N)",2018-07-10 15:15:00,"14797-55-8","T",18.3,"mg/l",NA,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","NITROGEN, NITRITE",2018-07-10 15:15:00,"14797-65-0","T",0.047,"mg/l",0.007,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Orthophosphate as Phosphorus, Dissolved",2018-07-10 15:15:00,"PDORTHO","D",3.62,"mg/l",0.014,"mg/l",0.05,"","R","Accuracy error ; Result should be less than the total"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-10 15:15:00,"7723-14-0","T",3.19,"mg/l",0.2,"mg/l",0.5,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Potassium",2018-07-10 15:15:00,"7440-09-7","T",14800,"ug/l",70,"ug/l",2000,"E","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Silver",2018-07-10 15:15:00,"7440-22-4","T",NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Sodium",2018-07-10 15:15:00,"7440-23-5","T",147000,"ug/l",44,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","SULFATE (AS SO4)",2018-07-10 15:15:00,"14808-79-8","T",45.4,"mg/l",0.2,"mg/l",2,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2018-07-10 15:15:00,"TDS","T",745,"mg/l",4,"mg/l",10,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","TURBIDITY",2018-07-10 15:15:00,"TURB","T",1.46,"ntu",0.06,"ntu",0.1,"","T",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Zinc",2018-07-10 15:15:00,"7440-66-6","D",37.8,"ug/l",2.5,"ug/l",5,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-07102018-WS","Zinc",2018-07-10 15:15:00,"7440-66-6","T",40.4,"ug/l",2.5,"ug/l",5,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-08-01 08:15:00,"ALK","T",107,"mg/l",1,"mg/l",2,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Aluminum",2018-08-01 08:15:00,"7429-90-5","D",5.3,"ug/l",2.3,"ug/l",10,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Arsenic",2018-08-01 08:15:00,"7440-38-2","T",0.54,"ug/l",0.39,"ug/l",1,"J","R","estimated value due to lab error ; Precision error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Cadmium",2018-08-01 08:15:00,"7440-43-9","D",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Calcium",2018-08-01 08:15:00,"7440-70-2","T",61600,"ug/l",110,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Carbon, Dissolved Organic (DOC)",2018-08-01 08:15:00,"DOC","D",6.8,"mg/l",0.05,"mg/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","CHLORIDE (AS CL)",2018-08-01 08:15:00,"16887-00-6","T",254,"mg/l",2,"mg/l",20,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Copper",2018-08-01 08:15:00,"7440-50-8","T",15,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Copper",2018-08-01 08:15:00,"7440-50-8","D",13.7,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Fluoride, undistilled",2018-08-01 08:15:00,"16984-48-8","T",0.12,"mg/l",0.004,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","HARDNESS (AS CACO3)",2018-08-01 08:15:00,"HARD","T",219,"mg/l",NA,"mg/l",6.62,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Iron",2018-08-01 08:15:00,"7439-89-6","T",59.1,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Lead",2018-08-01 08:15:00,"7439-92-1","D",0.15,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Lead",2018-08-01 08:15:00,"7439-92-1","T",0.19,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Magnesium",2018-08-01 08:15:00,"7439-95-4","T",15800,"ug/l",29,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Manganese",2018-08-01 08:15:00,"7439-96-5","T",40.2,"ug/l",1.7,"ug/l",10,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Nickel",2018-08-01 08:15:00,"7440-02-0","D",2.8,"ug/l",0.26,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Nitrate+Nitrite as Nitrogen",2018-08-01 08:15:00,"NO3NO2N","T",14.6,"mg/l",0.007,"mg/l",0.02,"","R","Precision error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Nitrogen",2018-08-01 08:15:00,"KN","T",15.8,"mg/l",NA,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Nitrogen, ammonia (As N)",2018-08-01 08:15:00,"7664-41-7","T",0.0588,"mg/l",8e-04,"mg/l",0.005,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","NITROGEN, KJELDAHL, TOTAL",2018-08-01 08:15:00,"KN","T",1.14,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","NITROGEN, NITRATE (AS N)",2018-08-01 08:15:00,"14797-55-8","T",14.6,"mg/l",NA,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","NITROGEN, NITRITE",2018-08-01 08:15:00,"14797-65-0","T",0.031,"mg/l",0.007,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Orthophosphate as Phosphorus, Dissolved",2018-08-01 08:15:00,"PDORTHO","D",2.45,"mg/l",0.007,"mg/l",0.025,"","R","Result should be less than the total"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","PHOSPHORUS, TOTAL (AS P)",2018-08-01 08:15:00,"7723-14-0","T",2.4,"mg/l",0.4,"mg/l",1,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Potassium",2018-08-01 08:15:00,"7440-09-7","T",12400,"ug/l",70,"ug/l",2000,"E","J","estimated value due to lab error"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Silver",2018-08-01 08:15:00,"7440-22-4","T",NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","Sodium",2018-08-01 08:15:00,"7440-23-5","T",157000,"ug/l",44,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-OCSDSTP-001","15-OCSDSTP-001-08012018-WS","SULFATE (AS SO4)",2018-08-01 08:15:00,"14808-79-8","T",53.4,"mg/l",0.2,"mg/l",2,"","R","Accuracy error"
