sys_sample_code,chemical_name,cas_rn,fraction,lab_qualifiers,lab_sdg,sample_date,result_value,result_unit,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_status,method_detection_limit,detection_limit_unit,quantitation_limit,sample_type_code,DEC_sample_type,analysis_date
13-DWAR-2.0-04242018-WS,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1806960,7/24/2018 14:00,0.298,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,7/25/2018 14:37
13-DWAR-2.0-04242018-WS,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806960,7/24/2018 14:00,0.298,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,8/17/2018 14:55
13-DWAR-2.0-04242018-WS,Lead,7439-92-1,TRUE,,R1806960,7/24/2018 14:00,1.9,ug/l,NA,NA,NA,,0.067,ug/l,1,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WS,Nickel,7440-02-0,TRUE,,R1806960,7/24/2018 14:00,3,ug/l,NA,NA,NA,,0.26,ug/l,1,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WS,Silver,7440-22-4,TRUE,U,R1806960,7/24/2018 14:00,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WS,Zinc,7440-66-6,TRUE,,R1806960,7/24/2018 14:00,8.6,ug/l,NA,NA,NA,,2.5,ug/l,5,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WS,Magnesium,7439-95-4,TRUE,E,R1806960,7/24/2018 14:00,6100,ug/l,NA,NA,NA,,29,ug/l,1000,N,N,7/30/2018 23:10
13-DWAR-2.0-04242018-WS,Calcium,7440-70-2,TRUE,E,R1806960,7/24/2018 14:00,31700,ug/l,NA,NA,NA,,110,ug/l,1000,N,N,7/30/2018 23:10
13-DWAR-2.0-04242018-WS,Cadmium,7440-43-9,TRUE,U,R1806960,7/24/2018 14:00,NA,ug/l,NA,NA,NA,,0.064,ug/l,1,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WSMS,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806960,7/24/2018 14:00,3.2,mg/l,0.91,2.5,3.2,,0.08,mg/l,0.2,MS,,8/14/2018 15:09
13-DWAR-2.0-04242018-WSMSD,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806960,7/24/2018 14:00,3.25,mg/l,NA,NA,NA,,0.08,mg/l,0.2,SD,,8/14/2018 15:10
13-DWAR-2.0-07102018-W,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1806544,7/10/2018 12:05,108,mg/l,NA,NA,NA,,1,mg/l,2,N,N,7/23/2018 19:55
13-DWAR-2.0-07102018-W,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1806544,7/10/2018 12:05,0.0467,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,N,7/19/2018 11:16
13-DWAR-2.0-07102018-W,CHLORIDE (AS CL),16887-00-6,TRUE,,R1806544,7/10/2018 12:05,49.6,mg/l,NA,NA,NA,,0.2,mg/l,2,N,N,7/13/2018 18:14
13-DWAR-2.0-07102018-W,Chlorophyll A,479-61-8,TRUE,,R1806544,7/10/2018 12:05,4.77,ug/l,NA,NA,NA,,NA,ug/l,0.34,N,N,7/23/2018 12:00
13-DWAR-2.0-07102018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1806544,7/10/2018 12:05,126,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,7/18/2018 12:07
13-DWAR-2.0-07102018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1806544,7/10/2018 12:05,0.193,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,7/12/2018 15:29
13-DWAR-2.0-07102018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806544,7/10/2018 12:05,0.193,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,7/27/2018 16:34
13-DWAR-2.0-07102018-W,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1806544,7/10/2018 12:05,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,N,7/12/2018 15:29
13-DWAR-2.0-07102018-W,Nitrogen,KN,TRUE,,R1806544,7/10/2018 12:05,0.84,mg/l,NA,NA,NA,,NA,mg/l,0.2,N,N,7/25/2018 12:27
13-DWAR-2.0-07102018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806544,7/10/2018 12:05,0.65,mg/l,NA,NA,NA,,0.08,mg/l,0.2,N,N,7/25/2018 12:27
13-DWAR-2.0-07102018-W,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1806544,7/10/2018 12:05,0.0965,mg/l,NA,NA,NA,,0.002,mg/l,0.005,N,N,7/25/2018 19:11
13-DWAR-2.0-07102018-W,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1806544,7/10/2018 12:05,227,mg/l,NA,NA,NA,,4,mg/l,10,N,N,7/17/2018 17:35
13-DWAR-2.0-07102018-W,TURBIDITY,TURB,TRUE,,R1806544,7/10/2018 12:05,15.1,ntu,NA,NA,NA,,0.06,ntu,0.1,N,N,7/12/2018 12:25
13-DWAR-2.0-07102018-W,Magnesium,7439-95-4,TRUE,,R1806544,7/10/2018 12:05,7000,ug/l,NA,NA,NA,,29,ug/l,1000,N,N,7/18/2018 12:07
13-DWAR-2.0-07102018-W,Cadmium,7440-43-9,TRUE,U,R1806544,7/10/2018 12:05,NA,ug/l,NA,NA,NA,,0.064,ug/l,1,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-W,Copper,7440-50-8,TRUE,,R1806544,7/10/2018 12:05,3.3,ug/l,NA,NA,NA,,0.66,ug/l,1,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-W,Aluminum,7429-90-5,TRUE,,R1806544,7/10/2018 12:05,308,ug/l,NA,NA,NA,,11.5,ug/l,50,N,N,7/19/2018 14:00
13-DWAR-2.0-07102018-W,Arsenic,7440-38-2,TRUE,,R1806544,7/10/2018 12:05,2.1,ug/l,NA,NA,NA,,0.39,ug/l,1,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-W,Nickel,7440-02-0,TRUE,,R1806544,7/10/2018 12:05,1.6,ug/l,NA,NA,NA,,0.26,ug/l,1,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-W,Silver,7440-22-4,TRUE,U,R1806544,7/10/2018 12:05,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-W,Lead,7439-92-1,TRUE,J,R1806544,7/10/2018 12:05,0.95,ug/l,NA,NA,NA,,0.067,ug/l,1,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-W,Calcium,7440-70-2,TRUE,,R1806544,7/10/2018 12:05,38900,ug/l,NA,NA,NA,,110,ug/l,1000,N,N,7/18/2018 12:07
13-DWAR-2.0-07102018-W,Iron,7439-89-6,TRUE,,R1806544,7/10/2018 12:05,746,ug/l,NA,NA,NA,,13,ug/l,100,N,N,7/18/2018 12:07
13-DWAR-2.0-07102018-W,Zinc,7440-66-6,TRUE,J,R1806544,7/10/2018 12:05,4,ug/l,NA,NA,NA,,2.5,ug/l,5,N,N,7/17/2018 15:01
13-DWAR-2.0-07102018-WMS,Iron,7439-89-6,TRUE,,R1806544,7/10/2018 12:05,1700,ug/l,746,1000,1700,,13,ug/l,100,MS,,7/18/2018 12:11
13-DWAR-2.0-07102018-WMS,Calcium,7440-70-2,TRUE,,R1806544,7/10/2018 12:05,39900,ug/l,38900,2000,39900,*,110,ug/l,1000,MS,,7/18/2018 12:11
13-DWAR-2.0-07102018-WMS,Magnesium,7439-95-4,TRUE,,R1806544,7/10/2018 12:05,8780,ug/l,7000,2000,8780,,29,ug/l,1000,MS,,7/18/2018 12:11
13-DWAR-2.0-07102018-WMS,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806544,7/10/2018 12:05,0.676,mg/l,0.193,0.5,0.676,,7.00E-04,mg/l,0.002,MS,,7/27/2018 16:35
13-DWAR-2.0-07102018-WMSD,Iron,7439-89-6,TRUE,,R1806544,7/10/2018 12:05,1690,ug/l,NA,NA,NA,,13,ug/l,100,SD,,7/18/2018 12:14
13-DWAR-2.0-07102018-WMSD,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806544,7/10/2018 12:05,0.689,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,SD,,7/27/2018 16:36
13-DWAR-2.0-07102018-WMSD,Magnesium,7439-95-4,TRUE,,R1806544,7/10/2018 12:05,8730,ug/l,NA,NA,NA,,29,ug/l,1000,SD,,7/18/2018 12:14
13-DWAR-2.0-07102018-WMSD,Calcium,7440-70-2,TRUE,,R1806544,7/10/2018 12:05,39600,ug/l,NA,NA,NA,*,110,ug/l,1000,SD,,7/18/2018 12:14
13-DWAR-2.0-08152018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1807869,8/15/2018 12:16,90.5,mg/l,NA,NA,NA,NA,NA,mg/l,6.62,N,N_DUPPARENT,8/29/2018 20:55
13-DWAR-2.0-08152018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1807869,8/15/2018 12:16,0.209,mg/l,NA,NA,NA,NA,NA,mg/l,0.01,N,N_DUPPARENT,8/16/2018 18:06
13-DWAR-2.0-08152018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1807869,8/15/2018 12:16,0.209,mg/l,NA,NA,NA,NA,7.00E-04,mg/l,0.002,N,N_DUPPARENT,9/6/2018 17:06
13-DWAR-2.0-08152018-W,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1807869,8/15/2018 12:16,NA,mg/l,NA,NA,NA,NA,0.007,mg/l,0.01,N,N_DUPPARENT,8/16/2018 18:06
13-DWAR-2.0-08152018-W,Nitrogen,KN,TRUE,,R1807869,8/15/2018 12:16,1.05,mg/l,NA,NA,NA,NA,NA,mg/l,0.1,N,N_DUPPARENT,9/5/2018 12:51
13-DWAR-2.0-08152018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1807869,8/15/2018 12:16,0.84,mg/l,NA,NA,NA,NA,0.08,mg/l,0.1,N,N_DUPPARENT,9/5/2018 12:51
13-DWAR-2.0-08152018-W,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1807869,8/15/2018 12:16,0.132,mg/l,NA,NA,NA,NA,0.01,mg/l,0.025,N,N_DUPPARENT,9/4/2018 17:54
13-DWAR-2.0-08152018-W,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1807869,8/15/2018 12:16,167,mg/l,NA,NA,NA,NA,4,mg/l,10,N,N_DUPPARENT,8/22/2018 15:10
13-DWAR-2.0-08152018-W,TURBIDITY,TURB,TRUE,,R1807869,8/15/2018 12:16,7.92,ntu,NA,NA,NA,NA,0.06,ntu,0.1,N,N_DUPPARENT,8/17/2018 9:00
13-DWAR-2.0-08152018-W,Zinc,7440-66-6,TRUE,,R1807869,8/15/2018 12:16,8.8,ug/l,NA,NA,NA,NA,2.5,ug/l,5,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Magnesium,7439-95-4,TRUE,,R1807869,8/15/2018 12:16,5160,ug/l,NA,NA,NA,NA,29,ug/l,1000,N,N_DUPPARENT,8/29/2018 20:55
13-DWAR-2.0-08152018-W,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1807869,8/15/2018 12:16,0.0249,mg/l,NA,NA,NA,NA,8.00E-04,mg/l,0.005,N,N_DUPPARENT,8/30/2018 21:23
13-DWAR-2.0-08152018-W,CHLORIDE (AS CL),16887-00-6,TRUE,,R1807869,8/15/2018 12:16,29.9,mg/l,NA,NA,NA,NA,0.2,mg/l,2,N,N_DUPPARENT,8/30/2018 0:40
13-DWAR-2.0-08152018-W,Chlorophyll A,479-61-8,TRUE,,R1807869,8/15/2018 12:16,0.998,ug/l,NA,NA,NA,NA,NA,ug/l,0.08,N,N_DUPPARENT,9/11/2018 12:25
13-DWAR-2.0-08152018-W,Aluminum,7429-90-5,TRUE,,R1807869,8/15/2018 12:16,391,ug/l,NA,NA,NA,NA,11.5,ug/l,50,N,N_DUPPARENT,9/5/2018 15:23
13-DWAR-2.0-08152018-W,Arsenic,7440-38-2,TRUE,,R1807869,8/15/2018 12:16,1.4,ug/l,NA,NA,NA,NA,0.39,ug/l,1,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Cadmium,7440-43-9,TRUE,J,R1807869,8/15/2018 12:16,0.58,ug/l,NA,NA,NA,NA,0.064,ug/l,1,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Copper,7440-50-8,TRUE,,R1807869,8/15/2018 12:16,3.1,ug/l,NA,NA,NA,NA,0.66,ug/l,1,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Lead,7439-92-1,TRUE,,R1807869,8/15/2018 12:16,1.7,ug/l,NA,NA,NA,NA,0.067,ug/l,1,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Calcium,7440-70-2,TRUE,,R1807869,8/15/2018 12:16,27700,ug/l,NA,NA,NA,NA,110,ug/l,1000,N,N_DUPPARENT,8/29/2018 20:55
13-DWAR-2.0-08152018-W,Nickel,7440-02-0,TRUE,,R1807869,8/15/2018 12:16,1.9,ug/l,NA,NA,NA,NA,0.26,ug/l,1,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Silver,7440-22-4,TRUE,U,R1807869,8/15/2018 12:16,NA,ug/l,NA,NA,NA,NA,0.039,ug/l,1,N,N_DUPPARENT,9/5/2018 15:53
13-DWAR-2.0-08152018-W,Iron,7439-89-6,TRUE,,R1807869,8/15/2018 12:16,1030,ug/l,NA,NA,NA,NA,13,ug/l,100,N,N_DUPPARENT,8/29/2018 20:55
13-DWAR-2.0-08152018-W,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1807869,8/15/2018 12:16,76,mg/l,NA,NA,NA,NA,1,mg/l,2,N,N_DUPPARENT,8/27/2018 21:53
13-DWAR-2.0-08152018-W-DUP,CHLORIDE (AS CL),16887-00-6,TRUE,,R1807869,8/15/2018 12:16,30.3,mg/l,NA,NA,NA,NA,0.2,mg/l,2,N,DUP,8/30/2018 1:16
13-DWAR-2.0-08152018-W-DUP,Chlorophyll A,479-61-8,TRUE,,R1807869,8/15/2018 12:16,0.917,ug/l,NA,NA,NA,NA,NA,ug/l,0.08,N,DUP,9/11/2018 12:25
13-DWAR-2.0-08152018-W-DUP,HARDNESS (AS CACO3),HARD,TRUE,,R1807869,8/15/2018 12:16,90.2,mg/l,NA,NA,NA,NA,NA,mg/l,6.62,N,DUP,8/29/2018 20:58
13-DWAR-2.0-08152018-W-DUP,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1807869,8/15/2018 12:16,0.209,mg/l,NA,NA,NA,NA,NA,mg/l,0.01,N,DUP,8/16/2018 18:07
13-DWAR-2.0-08152018-W-DUP,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1807869,8/15/2018 12:16,0.209,mg/l,NA,NA,NA,NA,7.00E-04,mg/l,0.002,N,DUP,9/6/2018 17:08
13-DWAR-2.0-08152018-W-DUP,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1807869,8/15/2018 12:16,NA,mg/l,NA,NA,NA,NA,0.007,mg/l,0.01,N,DUP,8/16/2018 18:07
13-DWAR-2.0-08152018-W-DUP,Nitrogen,KN,TRUE,,R1807869,8/15/2018 12:16,1.02,mg/l,NA,NA,NA,NA,NA,mg/l,0.1,N,DUP,9/5/2018 12:52
13-DWAR-2.0-08152018-W-DUP,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1807869,8/15/2018 12:16,0.81,mg/l,NA,NA,NA,NA,0.08,mg/l,0.1,N,DUP,9/5/2018 12:52
13-DWAR-2.0-08152018-W-DUP,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1807869,8/15/2018 12:16,0.123,mg/l,NA,NA,NA,NA,0.01,mg/l,0.025,N,DUP,9/4/2018 17:55
13-DWAR-2.0-08152018-W-DUP,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1807869,8/15/2018 12:16,175,mg/l,NA,NA,NA,NA,4,mg/l,10,N,DUP,8/22/2018 15:10
13-DWAR-2.0-08152018-W-DUP,TURBIDITY,TURB,TRUE,,R1807869,8/15/2018 12:16,8.09,ntu,NA,NA,NA,NA,0.06,ntu,0.1,N,DUP,8/17/2018 9:00
13-DWAR-2.0-08152018-W-DUP,Magnesium,7439-95-4,TRUE,,R1807869,8/15/2018 12:16,5150,ug/l,NA,NA,NA,NA,29,ug/l,1000,N,DUP,8/29/2018 20:58
13-DWAR-2.0-08152018-W-DUP,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1807869,8/15/2018 12:16,75.6,mg/l,NA,NA,NA,NA,1,mg/l,2,N,DUP,8/27/2018 21:58
13-DWAR-2.0-08152018-W-DUP,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1807869,8/15/2018 12:16,0.0281,mg/l,NA,NA,NA,NA,8.00E-04,mg/l,0.005,N,DUP,8/30/2018 21:39
13-DWAR-2.0-08152018-W-DUP,Aluminum,7429-90-5,TRUE,,R1807869,8/15/2018 12:16,374,ug/l,NA,NA,NA,NA,11.5,ug/l,50,N,DUP,9/5/2018 15:25
13-DWAR-2.0-08152018-W-DUP,Arsenic,7440-38-2,TRUE,,R1807869,8/15/2018 12:16,1.3,ug/l,NA,NA,NA,NA,0.39,ug/l,1,N,DUP,9/5/2018 15:54
13-DWAR-2.0-08152018-W-DUP,Cadmium,7440-43-9,TRUE,J,R1807869,8/15/2018 12:16,0.58,ug/l,NA,NA,NA,NA,0.064,ug/l,1,N,DUP,9/5/2018 15:54
13-DWAR-2.0-08152018-W-DUP,Copper,7440-50-8,TRUE,,R1807869,8/15/2018 12:16,2.9,ug/l,NA,NA,NA,NA,0.66,ug/l,1,N,DUP,9/5/2018 15:54
13-DWAR-2.0-08152018-W-DUP,Lead,7439-92-1,TRUE,,R1807869,8/15/2018 12:16,1.6,ug/l,NA,NA,NA,NA,0.067,ug/l,1,N,DUP,9/5/2018 15:54
13-DWAR-2.0-08152018-W-DUP,Calcium,7440-70-2,TRUE,,R1807869,8/15/2018 12:16,27600,ug/l,NA,NA,NA,NA,110,ug/l,1000,N,DUP,8/29/2018 20:58
13-DWAR-2.0-08152018-W-DUP,Nickel,7440-02-0,TRUE,,R1807869,8/15/2018 12:16,1.8,ug/l,NA,NA,NA,NA,0.26,ug/l,1,N,DUP,9/5/2018 15:54
13-DWAR-2.0-08152018-W-DUP,Silver,7440-22-4,TRUE,U,R1807869,8/15/2018 12:16,NA,ug/l,NA,NA,NA,NA,0.039,ug/l,1,N,DUP,9/5/2018 15:54
13-DWAR-2.0-08152018-W-DUP,Iron,7439-89-6,TRUE,,R1807869,8/15/2018 12:16,992,ug/l,NA,NA,NA,NA,13,ug/l,100,N,DUP,8/29/2018 20:58
13-DWAR-2.0-08152018-W-DUP,Zinc,7440-66-6,TRUE,J,R1807869,8/15/2018 12:16,4.4,ug/l,NA,NA,NA,NA,2.5,ug/l,5,N,DUP,9/5/2018 15:54
13-DWAR-2.0-09062018-W,Iron,7439-89-6,TRUE,,R1808568,9/6/2018 10:24,765,ug/l,NA,NA,NA,,13,ug/l,100,N,N,9/14/2018 18:34
13-DWAR-2.0-09062018-W,Arsenic,7440-38-2,TRUE,,R1808568,9/6/2018 10:24,1.7,ug/l,NA,NA,NA,,0.39,ug/l,1,N,N,9/18/2018 13:43
13-DWAR-2.0-09062018-W,Aluminum,7429-90-5,TRUE,,R1808568,9/6/2018 10:24,396,ug/l,NA,NA,NA,,23,ug/l,100,N,N,9/18/2018 13:38
13-DWAR-2.0-09062018-W,Cadmium,7440-43-9,TRUE,U,R1808568,9/6/2018 10:24,NA,ug/l,NA,NA,NA,,0.064,ug/l,1,N,N,9/14/2018 17:25
13-DWAR-2.0-09062018-W,Copper,7440-50-8,TRUE,,R1808568,9/6/2018 10:24,1.9,ug/l,NA,NA,NA,,0.66,ug/l,1,N,N,9/14/2018 17:25
13-DWAR-2.0-09062018-W,Zinc,7440-66-6,TRUE,J,R1808568,9/6/2018 10:24,2.8,ug/l,NA,NA,NA,,2.5,ug/l,5,N,N,9/14/2018 17:25
13-DWAR-2.0-09062018-W,Calcium,7440-70-2,TRUE,,R1808568,9/6/2018 10:24,51200,ug/l,NA,NA,NA,,110,ug/l,1000,N,N,9/14/2018 18:34
13-DWAR-2.0-09062018-W,Nickel,7440-02-0,TRUE,,R1808568,9/6/2018 10:24,1.5,ug/l,NA,NA,NA,,0.26,ug/l,1,N,N,9/14/2018 17:25
13-DWAR-2.0-09062018-W,Silver,7440-22-4,TRUE,U,R1808568,9/6/2018 10:24,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,N,9/14/2018 17:25
13-DWAR-2.0-09062018-W,Chlorophyll A,479-61-8,TRUE,,R1808568,9/6/2018 10:24,12,ug/l,NA,NA,NA,,NA,ug/l,0.53,N,N,9/19/2018 18:10
13-DWAR-2.0-09062018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1808568,9/6/2018 10:24,166,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,9/14/2018 18:34
13-DWAR-2.0-09062018-W,Magnesium,7439-95-4,TRUE,,R1808568,9/6/2018 10:24,9160,ug/l,NA,NA,NA,,29,ug/l,1000,N,N,9/14/2018 18:34
13-DWAR-2.0-09062018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1808568,9/6/2018 10:24,0.321,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,9/7/2018 20:08
13-DWAR-2.0-09062018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1808568,9/6/2018 10:24,0.321,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,9/13/2018 17:16
13-DWAR-2.0-09062018-W,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1808568,9/6/2018 10:24,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,N,9/7/2018 20:08
13-DWAR-2.0-09062018-W,Nitrogen,KN,TRUE,,R1808568,9/6/2018 10:24,1.01,mg/l,NA,NA,NA,,NA,mg/l,0.1,N,N,9/24/2018 17:57
13-DWAR-2.0-09062018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1808568,9/6/2018 10:24,0.69,mg/l,NA,NA,NA,,0.08,mg/l,0.1,N,N,9/24/2018 17:57
13-DWAR-2.0-09062018-W,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1808568,9/6/2018 10:24,0.095,mg/l,NA,NA,NA,,0.002,mg/l,0.005,N,N,9/21/2018 17:07
13-DWAR-2.0-09062018-W,Lead,7439-92-1,TRUE,J,R1808568,9/6/2018 10:24,0.82,ug/l,NA,NA,NA,,0.067,ug/l,1,N,N,9/14/2018 17:25
13-DWAR-2.0-09062018-W,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1808568,9/6/2018 10:24,127,mg/l,NA,NA,NA,,1,mg/l,2,N,N,9/17/2018 18:07
13-DWAR-2.0-09062018-W,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1808568,9/6/2018 10:24,0.0361,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,N,9/18/2018 1:11
13-DWAR-2.0-09062018-W,CHLORIDE (AS CL),16887-00-6,TRUE,,R1808568,9/6/2018 10:24,60.1,mg/l,NA,NA,NA,,0.3,mg/l,4,N,N,9/17/2018 15:55
13-DWAR-2.0-09062018-W,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1808568,9/6/2018 10:24,281,mg/l,NA,NA,NA,,4,mg/l,10,N,N,9/11/2018 10:30
