"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Magnesium",2018-08-01 08:45:00,"7439-95-4",TRUE,16100,"ug/l",29,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Nickel",2018-08-01 08:45:00,"7440-02-0",TRUE,1.6,"ug/l",0.26,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Nitrate+Nitrite as Nitrogen",2018-08-01 08:45:00,"NO3NO2N",TRUE,0.418,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Nitrogen",2018-08-01 08:45:00,"KN",TRUE,0.89,"mg/l",NA,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Nitrogen, ammonia (As N)",2018-08-01 08:45:00,"7664-41-7",TRUE,0.0077,"mg/l",8e-04,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","NITROGEN, KJELDAHL, TOTAL",2018-08-01 08:45:00,"KN",TRUE,0.48,"mg/l",0.08,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","NITROGEN, NITRATE (AS N)",2018-08-01 08:45:00,"14797-55-8",TRUE,0.418,"mg/l",NA,"mg/l",0.01,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","NITROGEN, NITRITE",2018-08-01 08:45:00,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","PHOSPHORUS, TOTAL (AS P)",2018-08-01 08:45:00,"7723-14-0",TRUE,0.0329,"mg/l",0.002,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Silver",2018-08-01 08:45:00,"7440-22-4",TRUE,NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","TURBIDITY",2018-08-01 08:45:00,"TURB",TRUE,1.46,"ntu",0.06,"ntu",0.1,"","R","Equipment Blank error"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Zinc",2018-08-01 08:45:00,"7440-66-6",TRUE,NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-31 13:30:00,"ALK",TRUE,69.2,"mg/l",1,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Aluminum",2018-07-31 13:30:00,"7429-90-5",TRUE,53.4,"ug/l",2.3,"ug/l",10,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Arsenic",2018-07-31 13:30:00,"7440-38-2",TRUE,0.41,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Cadmium",2018-07-31 13:30:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Calcium",2018-07-31 13:30:00,"7440-70-2",TRUE,26200,"ug/l",110,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","CHLORIDE (AS CL)",2018-07-31 13:30:00,"16887-00-6",TRUE,7.1,"mg/l",0.2,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Copper",2018-07-31 13:30:00,"7440-50-8",TRUE,0.72,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","HARDNESS (AS CACO3)",2018-07-31 13:30:00,"HARD",TRUE,81.1,"mg/l",NA,"mg/l",6.62,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Iron",2018-07-31 13:30:00,"7439-89-6",TRUE,180,"ug/l",13,"ug/l",100,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Lead",2018-07-31 13:30:00,"7439-92-1",TRUE,0.16,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Magnesium",2018-07-31 13:30:00,"7439-95-4",TRUE,3800,"ug/l",29,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Nickel",2018-07-31 13:30:00,"7440-02-0",TRUE,0.64,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Nitrate+Nitrite as Nitrogen",2018-07-31 13:30:00,"NO3NO2N",TRUE,0.155,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Nitrogen",2018-07-31 13:30:00,"KN",TRUE,0.79,"mg/l",NA,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Nitrogen, ammonia (As N)",2018-07-31 13:30:00,"7664-41-7",TRUE,NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-31 13:30:00,"KN",TRUE,0.63,"mg/l",0.08,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","NITROGEN, NITRATE (AS N)",2018-07-31 13:30:00,"14797-55-8",TRUE,0.155,"mg/l",NA,"mg/l",0.01,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","NITROGEN, NITRITE",2018-07-31 13:30:00,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-31 13:30:00,"7723-14-0",TRUE,0.0245,"mg/l",0.002,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Silver",2018-07-31 13:30:00,"7440-22-4",TRUE,NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","TURBIDITY",2018-07-31 13:30:00,"TURB",TRUE,0.71,"ntu",0.06,"ntu",0.1,"","R","Equipment Blank error"
"FingerLakes RAS 2018","07-BSWP-1.3","07-BSWP-1.3-07312018-WS","Zinc",2018-07-31 13:30:00,"7440-66-6",TRUE,NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-31 17:00:00,"ALK",TRUE,174,"mg/l",1,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Aluminum",2018-07-31 17:00:00,"7429-90-5",TRUE,291,"ug/l",11.5,"ug/l",50,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Arsenic",2018-07-31 17:00:00,"7440-38-2",TRUE,0.73,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Cadmium",2018-07-31 17:00:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Calcium",2018-07-31 17:00:00,"7440-70-2",TRUE,62300,"ug/l",110,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","CHLORIDE (AS CL)",2018-07-31 17:00:00,"16887-00-6",TRUE,43.7,"mg/l",0.2,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Copper",2018-07-31 17:00:00,"7440-50-8",TRUE,1.7,"ug/l",0.66,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","HARDNESS (AS CACO3)",2018-07-31 17:00:00,"HARD",TRUE,208,"mg/l",NA,"mg/l",6.62,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Iron",2018-07-31 17:00:00,"7439-89-6",TRUE,525,"ug/l",13,"ug/l",100,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Lead",2018-07-31 17:00:00,"7439-92-1",TRUE,0.48,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Magnesium",2018-07-31 17:00:00,"7439-95-4",TRUE,12800,"ug/l",29,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Nickel",2018-07-31 17:00:00,"7440-02-0",TRUE,1.3,"ug/l",0.26,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Nitrate+Nitrite as Nitrogen",2018-07-31 17:00:00,"NO3NO2N",TRUE,0.197,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Nitrogen",2018-07-31 17:00:00,"KN",TRUE,0.46,"mg/l",NA,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Nitrogen, ammonia (As N)",2018-07-31 17:00:00,"7664-41-7",TRUE,NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-31 17:00:00,"KN",TRUE,0.27,"mg/l",0.08,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","NITROGEN, NITRATE (AS N)",2018-07-31 17:00:00,"14797-55-8",TRUE,0.197,"mg/l",NA,"mg/l",0.01,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","NITROGEN, NITRITE",2018-07-31 17:00:00,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-31 17:00:00,"7723-14-0",TRUE,0.0218,"mg/l",0.002,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Silver",2018-07-31 17:00:00,"7440-22-4",TRUE,NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","TURBIDITY",2018-07-31 17:00:00,"TURB",TRUE,2.63,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"FingerLakes RAS 2018","07-CAYG-1.1","07-CAYG-1.1-07312018-WS","Zinc",2018-07-31 17:00:00,"7440-66-6",TRUE,2.6,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-31 15:00:00,"ALK",TRUE,166,"mg/l",1,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Aluminum",2018-07-31 15:00:00,"7429-90-5",TRUE,23.2,"ug/l",2.3,"ug/l",10,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Arsenic",2018-07-31 15:00:00,"7440-38-2",TRUE,0.67,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Cadmium",2018-07-31 15:00:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Calcium",2018-07-31 15:00:00,"7440-70-2",TRUE,58800,"ug/l",110,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","CHLORIDE (AS CL)",2018-07-31 15:00:00,"16887-00-6",TRUE,16.6,"mg/l",0.2,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Copper",2018-07-31 15:00:00,"7440-50-8",TRUE,NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","HARDNESS (AS CACO3)",2018-07-31 15:00:00,"HARD",TRUE,206,"mg/l",NA,"mg/l",6.62,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Iron",2018-07-31 15:00:00,"7439-89-6",TRUE,41.6,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Lead",2018-07-31 15:00:00,"7439-92-1",TRUE,0.071,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Magnesium",2018-07-31 15:00:00,"7439-95-4",TRUE,14400,"ug/l",29,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Nickel",2018-07-31 15:00:00,"7440-02-0",TRUE,0.67,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Nitrate+Nitrite as Nitrogen",2018-07-31 15:00:00,"NO3NO2N",TRUE,1.51,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Nitrogen",2018-07-31 15:00:00,"KN",TRUE,1.76,"mg/l",NA,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Nitrogen, ammonia (As N)",2018-07-31 15:00:00,"7664-41-7",TRUE,NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-31 15:00:00,"KN",TRUE,0.25,"mg/l",0.08,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","NITROGEN, NITRATE (AS N)",2018-07-31 15:00:00,"14797-55-8",TRUE,1.51,"mg/l",NA,"mg/l",0.01,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","NITROGEN, NITRITE",2018-07-31 15:00:00,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-31 15:00:00,"7723-14-0",TRUE,0.0079,"mg/l",0.002,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Silver",2018-07-31 15:00:00,"7440-22-4",TRUE,NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","TURBIDITY",2018-07-31 15:00:00,"TURB",TRUE,0.42,"ntu",0.06,"ntu",0.1,"","R","Equipment Blank error"
"FingerLakes RAS 2018","07-GROU-1.5","07-GROU-1.5-07312018-WS","Zinc",2018-07-31 15:00:00,"7440-66-6",TRUE,NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-08-02 09:45:00,"ALK",TRUE,269,"mg/l",1,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Aluminum",2018-08-02 09:45:00,"7429-90-5",TRUE,178,"ug/l",2.3,"ug/l",10,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Arsenic",2018-08-02 09:45:00,"7440-38-2",TRUE,0.75,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Cadmium",2018-08-02 09:45:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Calcium",2018-08-02 09:45:00,"7440-70-2",TRUE,99700,"ug/l",110,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","CHLORIDE (AS CL)",2018-08-02 09:45:00,"16887-00-6",TRUE,53.9,"mg/l",0.2,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Copper",2018-08-02 09:45:00,"7440-50-8",TRUE,1,"ug/l",0.66,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","HARDNESS (AS CACO3)",2018-08-02 09:45:00,"HARD",TRUE,366,"mg/l",NA,"mg/l",6.62,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Iron",2018-08-02 09:45:00,"7439-89-6",TRUE,405,"ug/l",13,"ug/l",100,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Lead",2018-08-02 09:45:00,"7439-92-1",TRUE,0.42,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Magnesium",2018-08-02 09:45:00,"7439-95-4",TRUE,28300,"ug/l",29,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Nickel",2018-08-02 09:45:00,"7440-02-0",TRUE,1.5,"ug/l",0.26,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Nitrate+Nitrite as Nitrogen",2018-08-02 09:45:00,"NO3NO2N",TRUE,1.63,"mg/l",7e-04,"mg/l",0.002,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Nitrogen",2018-08-02 09:45:00,"KN",TRUE,2.1,"mg/l",NA,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Nitrogen, ammonia (As N)",2018-08-02 09:45:00,"7664-41-7",TRUE,0.016,"mg/l",8e-04,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","NITROGEN, KJELDAHL, TOTAL",2018-08-02 09:45:00,"KN",TRUE,0.47,"mg/l",0.08,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","NITROGEN, NITRATE (AS N)",2018-08-02 09:45:00,"14797-55-8",TRUE,1.62,"mg/l",NA,"mg/l",0.01,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","NITROGEN, NITRITE",2018-08-02 09:45:00,"14797-65-0",TRUE,0.015,"mg/l",0.007,"mg/l",0.01,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","PHOSPHORUS, TOTAL (AS P)",2018-08-02 09:45:00,"7723-14-0",TRUE,0.0428,"mg/l",0.002,"mg/l",0.005,"","A",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Silver",2018-08-02 09:45:00,"7440-22-4",TRUE,NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","TURBIDITY",2018-08-02 09:45:00,"TURB",TRUE,2.18,"ntu",0.06,"ntu",0.1,"","T",""
"FingerLakes RAS 2018","07-JACB-1.9","07-JACB-1.9-08022018-WS","Zinc",2018-08-02 09:45:00,"7440-66-6",TRUE,NA,"ug/l",2.5,"ug/l",5,"UN","R","lab error ; Accuracy error"
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-08-01 10:30:00,"ALK",TRUE,248,"mg/l",1,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Aluminum",2018-08-01 10:30:00,"7429-90-5",TRUE,906,"ug/l",115,"ug/l",500,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Arsenic",2018-08-01 10:30:00,"7440-38-2",TRUE,2.4,"ug/l",0.39,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Cadmium",2018-08-01 10:30:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Calcium",2018-08-01 10:30:00,"7440-70-2",TRUE,93000,"ug/l",110,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","CHLORIDE (AS CL)",2018-08-01 10:30:00,"16887-00-6",TRUE,18.5,"mg/l",0.2,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Copper",2018-08-01 10:30:00,"7440-50-8",TRUE,1.6,"ug/l",0.66,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","HARDNESS (AS CACO3)",2018-08-01 10:30:00,"HARD",TRUE,313,"mg/l",NA,"mg/l",6.62,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Iron",2018-08-01 10:30:00,"7439-89-6",TRUE,1620,"ug/l",13,"ug/l",100,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Lead",2018-08-01 10:30:00,"7439-92-1",TRUE,1.3,"ug/l",0.067,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Magnesium",2018-08-01 10:30:00,"7439-95-4",TRUE,19700,"ug/l",29,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Nickel",2018-08-01 10:30:00,"7440-02-0",TRUE,3.3,"ug/l",0.26,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Nitrate+Nitrite as Nitrogen",2018-08-01 10:30:00,"NO3NO2N",TRUE,0.181,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Nitrogen",2018-08-01 10:30:00,"KN",TRUE,1.23,"mg/l",NA,"mg/l",0.1,"","A",""
"FingerLakes RAS 2018","07-KDIG-10.4","07-KDIG-10.4-08012018-WS","Nitrogen, ammonia (As N)",2018-08-01 10:30:00,"7664-41-7",TRUE,0.08,"mg/l",8e-04,"mg/l",0.005,"","A",""
