"","Sample Name","Characteristic Name","Analysis Start Date","cas_rn","Result Sample Fraction","result value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","Lab Name Code","Lab Sample Name","Result Value Type","reporting_detection_limit","Analysis Date Timezone","Results Detection Condition"
"13","18BLK002","Arsenic","2018-06-27","7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"14","18BLK002","Color, True","2018-06-27","COLOR","T",22,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"15","18BLK002","Iron","2018-06-27","7439-89-6","T",148,"ug/l",13,"ug/l",100,"","A","",NA,NA,NA,NA,"EDT",""
"16","18BLK002","Manganese","2018-06-27","7439-96-5","T",161,"ug/l",1.7,"ug/l",10,"","A","",NA,NA,NA,NA,"EDT",""
"17","18BLK002","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",0.0491,"mg/l",7e-04,"mg/l",0.002,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"18","18BLK002","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",0.13,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"19","18BLK002","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.5,"mg/l",0.08,"mg/l",0.1,"","T","",NA,NA,NA,NA,"EDT",""
"20","18BLK002","pH of Color Analysis","2018-06-27","PHCOLOR","T",6.65,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"21","18BLK002","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.008,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"22","18BLK002","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",0.0093,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"23","18BLK002","SULFATE (AS SO4)","2018-06-27","14808-79-8","T",2.6,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"24","18BLK002","TOTAL ORGANIC CARBON","2018-06-27","TOC","T",4.7,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"25","18BLK002","UV 254","2018-06-27","UV254","T",0.0885,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
"26","18BLK003","ALKALINITY, TOTAL (AS CaCO3)","2018-06-27","ALK","T",15.2,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"27","18BLK003","Carbon, Dissolved Organic (DOC)","2018-06-27","DOC","D",4.4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"28","18BLK003","Chlorophyll A","2018-06-27","479-61-8","T",1.17,"ug/l",NA,"ug/l",0.04,"","A","",NA,NA,NA,NA,"EDT",""
"29","18BLK003","Color, True","2018-06-27","COLOR","T",22,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"30","18BLK003","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",0.0627,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"31","18BLK003","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",0.0135,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"32","18BLK003","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.35,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"33","18BLK003","pH of Color Analysis","2018-06-27","PHCOLOR","T",7.21,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"34","18BLK003","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.0058,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"35","18BLK003","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"36","18BLK003","SULFATE (AS SO4)","2018-06-27","14808-79-8","T",3.6,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"37","18BLK003","UV 254","2018-06-27","UV254","T",0.116,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
"38","18BLK004","Arsenic","2018-06-27","7440-38-2","T",0.43,"ug/l",0.39,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",NA,NA,NA,NA,"EDT","Reporting Limit, less than"
"39","18BLK004","Carbon, Dissolved Organic (DOC)","2018-06-27","DOC","D",4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"40","18BLK004","Color, True","2018-06-27","COLOR","T",28,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"41","18BLK004","Iron","2018-06-27","7439-89-6","T",36.9,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error",NA,NA,NA,NA,"EDT","Reporting Limit, less than"
"42","18BLK004","Manganese","2018-06-27","7439-96-5","T",5.9,"ug/l",1.7,"ug/l",10,"J","J","estimated value due to lab error",NA,NA,NA,NA,"EDT","Reporting Limit, less than"
"43","18BLK004","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",0.112,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"44","18BLK004","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",0.0071,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"45","18BLK004","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.29,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"46","18BLK004","pH of Color Analysis","2018-06-27","PHCOLOR","T",6.78,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"47","18BLK004","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.0059,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"48","18BLK004","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"49","18BLK004","SULFATE (AS SO4)","2018-06-27","14808-79-8","T",3.8,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"50","18BLK004","UV 254","2018-06-27","UV254","T",0.117,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
"51","18BLK005","ALKALINITY, TOTAL (AS CaCO3)","2018-06-26","ALK","T",6.8,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"52","18BLK005","Chlorophyll A","2018-06-26","479-61-8","T",5.55,"ug/l",NA,"ug/l",0.16,"","A","",NA,NA,NA,NA,"EDT",""
"53","18BLK005","Color, True","2018-06-26","COLOR","T",120,"color unit",NA,"color unit",5,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"54","18BLK005","Nitrate+Nitrite as Nitrogen","2018-06-26","NO3NO2N","T",0.0046,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"55","18BLK005","Nitrogen, ammonia (As N)","2018-06-26","7664-41-7","T",0.0109,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"56","18BLK005","NITROGEN, KJELDAHL, TOTAL","2018-06-26","KN","T",0.52,"mg/l",0.08,"mg/l",0.1,"","T","",NA,NA,NA,NA,"EDT",""
"57","18BLK005","pH of Color Analysis","2018-06-26","PHCOLOR","T",7.81,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"58","18BLK005","PHOSPHORUS, DISSOLVED (AS P)","2018-06-26","7723-14-0","D",NA,"mg/l",0.004,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"59","18BLK005","PHOSPHORUS, TOTAL (AS P)","2018-06-26","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"60","18BLK005","TOTAL ORGANIC CARBON","2018-06-26","TOC","T",5.6,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"61","18BLK006","Color, True","2018-06-26","COLOR","T",230,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"62","18BLK006","Nitrate+Nitrite as Nitrogen","2018-06-26","NO3NO2N","T",0.0852,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"63","18BLK006","Nitrogen, ammonia (As N)","2018-06-26","7664-41-7","T",0.139,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"64","18BLK006","NITROGEN, KJELDAHL, TOTAL","2018-06-26","KN","T",0.55,"mg/l",0.08,"mg/l",0.1,"","T","",NA,NA,NA,NA,"EDT",""
"65","18BLK006","pH of Color Analysis","2018-06-26","PHCOLOR","T",6.48,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"66","18BLK006","PHOSPHORUS, DISSOLVED (AS P)","2018-06-26","7723-14-0","D",0.0097,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"67","18BLK006","PHOSPHORUS, TOTAL (AS P)","2018-06-26","7723-14-0","T",0.013,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"68","18BLK006","TOTAL ORGANIC CARBON","2018-06-26","TOC","T",5.9,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"69","18BLK007","ALKALINITY, TOTAL (AS CaCO3)","2018-06-27","ALK","T",5.2,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"70","18BLK007","Chlorophyll A","2018-06-27","479-61-8","T",2.7,"ug/l",NA,"ug/l",0.08,"","A","",NA,NA,NA,NA,"EDT",""
"71","18BLK007","Color, True","2018-06-27","COLOR","T",180,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"72","18BLK007","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",0.0376,"mg/l",7e-04,"mg/l",0.002,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"73","18BLK007","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"74","18BLK007","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.4,"mg/l",0.08,"mg/l",0.1,"","T","",NA,NA,NA,NA,"EDT",""
"75","18BLK007","pH of Color Analysis","2018-06-27","PHCOLOR","T",7.21,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"76","18BLK007","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.0072,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Result should be less than the total",NA,NA,NA,NA,"EDT",""
"77","18BLK007","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",0.005,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"78","18BLK007","TOTAL ORGANIC CARBON","2018-06-27","TOC","T",6.5,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"79","18BLK008","Color, True","2018-06-27","COLOR","T",210,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"80","18BLK008","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",0.103,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"81","18BLK008","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",0.12,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"82","18BLK008","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.5,"mg/l",0.08,"mg/l",0.1,"","T","",NA,NA,NA,NA,"EDT",""
"83","18BLK008","pH of Color Analysis","2018-06-27","PHCOLOR","T",6.27,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"84","18BLK008","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.0065,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"85","18BLK008","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",0.0107,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"86","18BLK008","TOTAL ORGANIC CARBON","2018-06-27","TOC","T",6.6,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"87","18BLK011","ALKALINITY, TOTAL (AS CaCO3)","2018-06-26","ALK","T",21.2,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"88","18BLK011","Chlorophyll A","2018-06-26","479-61-8","T",11,"ug/l",NA,"ug/l",0.8,"","A","",NA,NA,NA,NA,"EDT",""
"89","18BLK011","Color, True","2018-06-26","COLOR","T",250,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"90","18BLK011","Nitrate+Nitrite as Nitrogen","2018-06-26","NO3NO2N","T",0.0041,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"91","18BLK011","Nitrogen, ammonia (As N)","2018-06-26","7664-41-7","T",0.012,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"92","18BLK011","NITROGEN, KJELDAHL, TOTAL","2018-06-26","KN","T",0.88,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"93","18BLK011","pH of Color Analysis","2018-06-26","PHCOLOR","T",7.09,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"94","18BLK011","PHOSPHORUS, DISSOLVED (AS P)","2018-06-26","7723-14-0","D",0.0194,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"95","18BLK011","PHOSPHORUS, TOTAL (AS P)","2018-06-26","7723-14-0","T",0.0264,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"96","18BLK011","TOTAL ORGANIC CARBON","2018-06-26","TOC","T",10.1,"mg/l",0.05,"mg/l",1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"97","18BLK013","ALKALINITY, TOTAL (AS CaCO3)","2018-06-26","ALK","T",NA,"mg/l",1,"mg/l",2,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"98","18BLK013","Chlorophyll A","2018-06-26","479-61-8","T",2.41,"ug/l",NA,"ug/l",0.08,"","A","",NA,NA,NA,NA,"EDT",""
"99","18BLK013","Color, True","2018-06-26","COLOR","T",23,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"100","18BLK013","Nitrate+Nitrite as Nitrogen","2018-06-26","NO3NO2N","T",0.0822,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"101","18BLK013","Nitrogen, ammonia (As N)","2018-06-26","7664-41-7","T",0.0056,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"102","18BLK013","NITROGEN, KJELDAHL, TOTAL","2018-06-26","KN","T",0.35,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"103","18BLK013","pH of Color Analysis","2018-06-26","PHCOLOR","T",6.91,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"104","18BLK013","PHOSPHORUS, DISSOLVED (AS P)","2018-06-26","7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"105","18BLK013","PHOSPHORUS, TOTAL (AS P)","2018-06-26","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"106","18BLK013","TOTAL ORGANIC CARBON","2018-06-26","TOC","T",3.1,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"107","18BLK014","Color, True","2018-06-26","COLOR","T",26,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"108","18BLK014","Nitrate+Nitrite as Nitrogen","2018-06-26","NO3NO2N","T",0.121,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"109","18BLK014","Nitrogen, ammonia (As N)","2018-06-26","7664-41-7","T",0.041,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"110","18BLK014","NITROGEN, KJELDAHL, TOTAL","2018-06-26","KN","T",0.29,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"111","18BLK014","pH of Color Analysis","2018-06-26","PHCOLOR","T",6.19,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"112","18BLK014","PHOSPHORUS, DISSOLVED (AS P)","2018-06-26","7723-14-0","D",0.0068,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"113","18BLK014","PHOSPHORUS, TOTAL (AS P)","2018-06-26","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"114","18BLK014","TOTAL ORGANIC CARBON","2018-06-26","TOC","T",3.2,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"115","18BLK101","ALKALINITY, TOTAL (AS CaCO3)","2018-07-24","ALK","T",15.6,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"116","18BLK101","Carbon, Dissolved Organic (DOC)","2018-07-24","DOC","D",4.5,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"117","18BLK101","Chlorophyll A","2018-07-24","479-61-8","T",1.24,"ug/l",NA,"ug/l",0.053,"","A","",NA,NA,NA,NA,"EDT",""
"118","18BLK101","Color, True","2018-07-24","COLOR","T",19,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"119","18BLK101","Nitrate+Nitrite as Nitrogen","2018-07-24","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"120","18BLK101","Nitrogen, ammonia (As N)","2018-07-24","7664-41-7","T",0.0066,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"121","18BLK101","NITROGEN, KJELDAHL, TOTAL","2018-07-24","KN","T",0.28,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"122","18BLK101","pH of Color Analysis","2018-07-24","PHCOLOR","T",7.84,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"123","18BLK101","PHOSPHORUS, DISSOLVED (AS P)","2018-07-24","7723-14-0","D",0.0054,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"124","18BLK101","PHOSPHORUS, TOTAL (AS P)","2018-07-24","7723-14-0","T",0.007,"mg/l",0.002,"mg/l",0.005,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"125","18BLK101","SULFATE (AS SO4)","2018-07-24","14808-79-8","T",3.1,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"126","18BLK101","UV 254","2018-07-24","UV254","T",0.079,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
"127","18BLK102","Arsenic","2018-07-24","7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"128","18BLK102","Carbon, Dissolved Organic (DOC)","2018-07-24","DOC","D",3.9,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"129","18BLK102","Color, True","2018-07-24","COLOR","T",24,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"130","18BLK102","Iron","2018-07-24","7439-89-6","T",50.3,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error",NA,NA,NA,NA,"EDT","Reporting Limit, less than"
"131","18BLK102","Manganese","2018-07-24","7439-96-5","T",77.5,"ug/l",1.7,"ug/l",10,"","A","",NA,NA,NA,NA,"EDT",""
"132","18BLK102","Nitrate+Nitrite as Nitrogen","2018-07-24","NO3NO2N","T",0.157,"mg/l",7e-04,"mg/l",0.002,"","A","",NA,NA,NA,NA,"EDT",""
"133","18BLK102","Nitrogen, ammonia (As N)","2018-07-24","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"134","18BLK102","NITROGEN, KJELDAHL, TOTAL","2018-07-24","KN","T",0.19,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"135","18BLK102","pH of Color Analysis","2018-07-24","PHCOLOR","T",7.56,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"136","18BLK102","PHOSPHORUS, DISSOLVED (AS P)","2018-07-24","7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"137","18BLK102","PHOSPHORUS, TOTAL (AS P)","2018-07-24","7723-14-0","T",0.0072,"mg/l",0.002,"mg/l",0.005,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"138","18BLK102","SULFATE (AS SO4)","2018-07-24","14808-79-8","T",3.3,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"139","18BLK102","UV 254","2018-07-24","UV254","T",0.084,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
"140","18BLK103","ALKALINITY, TOTAL (AS CaCO3)","2018-07-24","ALK","T",16,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"141","18BLK103","Carbon, Dissolved Organic (DOC)","2018-07-24","DOC","D",4.4,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"142","18BLK103","Chlorophyll A","2018-07-24","479-61-8","T",1.9,"ug/l",NA,"ug/l",0.08,"","A","",NA,NA,NA,NA,"EDT",""
"143","18BLK103","Color, True","2018-07-24","COLOR","T",21,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"144","18BLK103","Nitrate+Nitrite as Nitrogen","2018-07-24","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"145","18BLK103","Nitrogen, ammonia (As N)","2018-07-24","7664-41-7","T",0.0053,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"146","18BLK103","NITROGEN, KJELDAHL, TOTAL","2018-07-24","KN","T",0.15,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"147","18BLK103","pH of Color Analysis","2018-07-24","PHCOLOR","T",7.52,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"148","18BLK103","PHOSPHORUS, DISSOLVED (AS P)","2018-07-24","7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"149","18BLK103","PHOSPHORUS, TOTAL (AS P)","2018-07-24","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"150","18BLK103","SULFATE (AS SO4)","2018-07-24","14808-79-8","T",4.1,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
