"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"18BLK011","Nitrate+Nitrite as Nitrogen",2018-06-26,"NO3NO2N","T",0.0041,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK011","Nitrogen, ammonia (As N)",2018-06-26,"7664-41-7","T",0.012,"mg/l",8e-04,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK011","NITROGEN, KJELDAHL, TOTAL",2018-06-26,"KN","T",0.88,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK011","pH of Color Analysis",2018-06-26,"PHCOLOR","T",7.09,"pH units",NA,"pH units",NA,"","A",""
"18BLK011","PHOSPHORUS, DISSOLVED (AS P)",2018-06-26,"7723-14-0","D",0.0194,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK011","PHOSPHORUS, TOTAL (AS P)",2018-06-26,"7723-14-0","T",0.0264,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK011","TOTAL ORGANIC CARBON",2018-06-26,"TOC","T",10.1,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK013","ALKALINITY, TOTAL (AS CaCO3)",2018-06-26,"ALK","T",NA,"mg/l",1,"mg/l",2,"U","U","Analyte was analyzed for but not detected"
"18BLK013","Chlorophyll A",2018-06-26,"479-61-8","T",2.41,"ug/l",NA,"ug/l",0.08,"","A",""
"18BLK013","Color, True",2018-06-26,"COLOR","T",23,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK013","Nitrate+Nitrite as Nitrogen",2018-06-26,"NO3NO2N","T",0.0822,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK013","Nitrogen, ammonia (As N)",2018-06-26,"7664-41-7","T",0.0056,"mg/l",8e-04,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK013","NITROGEN, KJELDAHL, TOTAL",2018-06-26,"KN","T",0.35,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK013","pH of Color Analysis",2018-06-26,"PHCOLOR","T",6.91,"pH units",NA,"pH units",NA,"","A",""
"18BLK013","PHOSPHORUS, DISSOLVED (AS P)",2018-06-26,"7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK013","PHOSPHORUS, TOTAL (AS P)",2018-06-26,"7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK013","TOTAL ORGANIC CARBON",2018-06-26,"TOC","T",3.1,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK014","Color, True",2018-06-26,"COLOR","T",26,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK014","Nitrate+Nitrite as Nitrogen",2018-06-26,"NO3NO2N","T",0.121,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK014","Nitrogen, ammonia (As N)",2018-06-26,"7664-41-7","T",0.041,"mg/l",8e-04,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK014","NITROGEN, KJELDAHL, TOTAL",2018-06-26,"KN","T",0.29,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK014","pH of Color Analysis",2018-06-26,"PHCOLOR","T",6.19,"pH units",NA,"pH units",NA,"","A",""
"18BLK014","PHOSPHORUS, DISSOLVED (AS P)",2018-06-26,"7723-14-0","D",0.0068,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK014","PHOSPHORUS, TOTAL (AS P)",2018-06-26,"7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK014","TOTAL ORGANIC CARBON",2018-06-26,"TOC","T",3.2,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK101","ALKALINITY, TOTAL (AS CaCO3)",2018-07-24,"ALK","T",15.6,"mg/l",1,"mg/l",2,"","A",""
"18BLK101","Carbon, Dissolved Organic (DOC)",2018-07-24,"DOC","D",4.5,"mg/l",0.05,"mg/l",1,"","T",""
"18BLK101","Chlorophyll A",2018-07-24,"479-61-8","T",1.24,"ug/l",NA,"ug/l",0.053,"","A",""
"18BLK101","Color, True",2018-07-24,"COLOR","T",19,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK101","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected"
"18BLK101","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7","T",0.0066,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error"
"18BLK101","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN","T",0.28,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK101","pH of Color Analysis",2018-07-24,"PHCOLOR","T",7.84,"pH units",NA,"pH units",NA,"","A",""
"18BLK101","PHOSPHORUS, DISSOLVED (AS P)",2018-07-24,"7723-14-0","D",0.0054,"mg/l",0.002,"mg/l",0.005,"","A",""
"18BLK101","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0","T",0.007,"mg/l",0.002,"mg/l",0.005,"","R","Precision error"
"18BLK101","SULFATE (AS SO4)",2018-07-24,"14808-79-8","T",3.1,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK101","UV 254",2018-07-24,"UV254","T",0.079,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK102","Arsenic",2018-07-24,"7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK102","Carbon, Dissolved Organic (DOC)",2018-07-24,"DOC","D",3.9,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK102","Color, True",2018-07-24,"COLOR","T",24,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK102","Iron",2018-07-24,"7439-89-6","T",50.3,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"18BLK102","Manganese",2018-07-24,"7439-96-5","T",77.5,"ug/l",1.7,"ug/l",10,"","A",""
"18BLK102","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N","T",0.157,"mg/l",7e-04,"mg/l",0.002,"","A",""
"18BLK102","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK102","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN","T",0.19,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK102","pH of Color Analysis",2018-07-24,"PHCOLOR","T",7.56,"pH units",NA,"pH units",NA,"","A",""
"18BLK102","PHOSPHORUS, DISSOLVED (AS P)",2018-07-24,"7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK102","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0","T",0.0072,"mg/l",0.002,"mg/l",0.005,"","R","Precision error"
"18BLK102","SULFATE (AS SO4)",2018-07-24,"14808-79-8","T",3.3,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK102","UV 254",2018-07-24,"UV254","T",0.084,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK103","ALKALINITY, TOTAL (AS CaCO3)",2018-07-24,"ALK","T",16,"mg/l",1,"mg/l",2,"","A",""
"18BLK103","Carbon, Dissolved Organic (DOC)",2018-07-24,"DOC","D",4.4,"mg/l",0.05,"mg/l",1,"","T",""
"18BLK103","Chlorophyll A",2018-07-24,"479-61-8","T",1.9,"ug/l",NA,"ug/l",0.08,"","A",""
"18BLK103","Color, True",2018-07-24,"COLOR","T",21,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK103","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected"
"18BLK103","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7","T",0.0053,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error"
"18BLK103","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN","T",0.15,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK103","pH of Color Analysis",2018-07-24,"PHCOLOR","T",7.52,"pH units",NA,"pH units",NA,"","A",""
"18BLK103","PHOSPHORUS, DISSOLVED (AS P)",2018-07-24,"7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK103","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK103","SULFATE (AS SO4)",2018-07-24,"14808-79-8","T",4.1,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK103","UV 254",2018-07-24,"UV254","T",0.107,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK104","Arsenic",2018-07-24,"7440-38-2","T",0.42,"ug/l",0.39,"ug/l",1,"J","R","estimated value due to lab error ; Precision error"
"18BLK104","Carbon, Dissolved Organic (DOC)",2018-07-24,"DOC","D",4.1,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK104","Color, True",2018-07-24,"COLOR","T",23,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK104","Iron",2018-07-24,"7439-89-6","T",86.5,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"18BLK104","Manganese",2018-07-24,"7439-96-5","T",13.5,"ug/l",1.7,"ug/l",10,"","A",""
"18BLK104","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N","T",0.168,"mg/l",7e-04,"mg/l",0.002,"","A",""
"18BLK104","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK104","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN","T",0.16,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK104","pH of Color Analysis",2018-07-24,"PHCOLOR","T",7.37,"pH units",NA,"pH units",NA,"","A",""
"18BLK104","PHOSPHORUS, DISSOLVED (AS P)",2018-07-24,"7723-14-0","D",0.0059,"mg/l",0.002,"mg/l",0.005,"","R","Result should be less than the total"
"18BLK104","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0","T",0.0052,"mg/l",0.002,"mg/l",0.005,"","R","Precision error"
"18BLK104","SULFATE (AS SO4)",2018-07-24,"14808-79-8","T",3.8,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK104","UV 254",2018-07-24,"UV254","T",0.118,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK105","ALKALINITY, TOTAL (AS CaCO3)",2018-07-23,"ALK","T",6.8,"mg/l",1,"mg/l",2,"","A",""
"18BLK105","Chlorophyll A",2018-07-23,"479-61-8","T",1.87,"ug/l",NA,"ug/l",0.08,"","A",""
"18BLK105","Color, True",2018-07-23,"COLOR","T",80,"color unit",NA,"color unit",5,"","J","estimated value due to Equipment Blank error"
"18BLK105","Nitrate+Nitrite as Nitrogen",2018-07-23,"NO3NO2N","T",0.0025,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK105","Nitrogen, ammonia (As N)",2018-07-23,"7664-41-7","T",0.0093,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error"
"18BLK105","NITROGEN, KJELDAHL, TOTAL",2018-07-23,"KN","T",0.25,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK105","pH of Color Analysis",2018-07-23,"PHCOLOR","T",7.39,"pH units",NA,"pH units",NA,"","A",""
"18BLK105","PHOSPHORUS, DISSOLVED (AS P)",2018-07-23,"7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK105","PHOSPHORUS, TOTAL (AS P)",2018-07-23,"7723-14-0","T",0.0094,"mg/l",0.002,"mg/l",0.005,"","R","Precision error"
"18BLK105","TOTAL ORGANIC CARBON",2018-07-23,"TOC","T",4.8,"mg/l",0.05,"mg/l",1,"","T",""
"18BLK106","Color, True",2018-07-23,"COLOR","T",160,"color unit",NA,"color unit",10,"","A",""
"18BLK106","Nitrate+Nitrite as Nitrogen",2018-07-23,"NO3NO2N","T",0.0743,"mg/l",7e-04,"mg/l",0.002,"","A",""
"18BLK106","Nitrogen, ammonia (As N)",2018-07-23,"7664-41-7","T",0.149,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error"
"18BLK106","NITROGEN, KJELDAHL, TOTAL",2018-07-23,"KN","T",0.33,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK106","pH of Color Analysis",2018-07-23,"PHCOLOR","T",7.25,"pH units",NA,"pH units",NA,"","A",""
"18BLK106","PHOSPHORUS, DISSOLVED (AS P)",2018-07-23,"7723-14-0","D",0.0114,"mg/l",0.002,"mg/l",0.005,"","A",""
"18BLK106","PHOSPHORUS, TOTAL (AS P)",2018-07-23,"7723-14-0","T",0.0142,"mg/l",0.002,"mg/l",0.005,"","R","Precision error"
"18BLK106","TOTAL ORGANIC CARBON",2018-07-23,"TOC","T",6.1,"mg/l",0.05,"mg/l",1,"","T",""
"18BLK107","ALKALINITY, TOTAL (AS CaCO3)",2018-07-24,"ALK","T",5.6,"mg/l",1,"mg/l",2,"","A",""
"18BLK107","Chlorophyll A",2018-07-24,"479-61-8","T",2.8,"ug/l",NA,"ug/l",0.08,"","A",""
"18BLK107","Color, True",2018-07-24,"COLOR","T",85,"color unit",NA,"color unit",5,"","J","estimated value due to Equipment Blank error"
"18BLK107","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected"
"18BLK107","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK107","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN","T",0.24,"mg/l",0.08,"mg/l",0.1,"","A",""
"18BLK107","pH of Color Analysis",2018-07-24,"PHCOLOR","T",7.12,"pH units",NA,"pH units",NA,"","A",""
"18BLK107","PHOSPHORUS, DISSOLVED (AS P)",2018-07-24,"7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK107","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0","T",0.0051,"mg/l",0.002,"mg/l",0.005,"","R","Precision error"
